           1           1           0           0       39999
           2           2           0           0       39998
           3           3           0           0       39997
           4           5           1           0       39995
           5           5           2           0       39995
           6           6           4           0       39994
           7           7           5           0       39993
           8           5           9           0       39995
           9           4          10           0       39996
          10           3          13           0       39997
          11           3          15           0       39997
          12           3          15           0       39997
          13           4          15           0       39996
          14           4          17           0       39996
          15           3          19           0       39997
          16           3          19           0       39997
          17           2          20           0       39998
          18           2          21           0       39998
          19           2          22           0       39998
          20           3          22           0       39997
          21           3          23           0       39997
          22           4          24           0       39996
          23           3          25           0       39997
          24           3          26           0       39997
          25           3          27           0       39997
          26           2          28           1       39998
          27           3          28           1       39997
          28           4          30           1       39996
          29           5          31           1       39995
          30           5          32           1       39995
          31           5          33           1       39995
          32           3          35           1       39997
          33           3          36           1       39997
          34           2          36           2       39998
          35           3          37           2       39997
          36           3          37           2       39997
          37           5          38           2       39995
          38           6          39           2       39994
          39           4          42           2       39996
          40           5          42           2       39995
          41           2          45           2       39998
          42           4          46           2       39996
          43           6          47           2       39994
          44           9          47           3       39991
          45          11          48           3       39989
          46          11          53           3       39989
          47          10          55           3       39990
          48           8          60           3       39992
          49           8          62           3       39992
          50           7          66           3       39993
          51           9          68           3       39991
          52          11          71           3       39989
          53          11          73           3       39989
          54          12          75           3       39988
          55          12          77           4       39988
          56          11          81           5       39989
          57          14          82           6       39986
          58          13          85           6       39987
          59          14          88           6       39986
          60          16          92           6       39984
          61          13          97           6       39987
          62          13          99           6       39987
          63          12         102           7       39988
          64           8         107           7       39992
          65           8         109           7       39992
          66          12         112           7       39988
          67          12         114           8       39988
          68          13         116           8       39987
          69          15         118           8       39985
          70          12         122          10       39988
          71          12         125          10       39988
          72          11         128          10       39989
          73          11         133          10       39989
          74          11         136          11       39989
          75           9         139          11       39991
          76           9         140          11       39991
          77           5         144          12       39995
          78           3         147          12       39997
          79           2         148          12       39998
          80           1         149          12       39999
          81           1         149          12       39999
          82           0         150          12       40000
          83           0         150          12       40000
          84           0         150          12       40000
          85           0         150          12       40000
          86           0         150          12       40000
          87           0         150          12       40000
          88           0         150          12       40000
          89           0         150          12       40000
          90           0         150          12       40000
          91           0         150          12       40000
          92           0         150          12       40000
          93           0         150          12       40000
          94           0         150          12       40000
          95           0         150          12       40000
          96           0         150          12       40000
          97           0         150          12       40000
          98           0         150          12       40000
          99           0         150          12       40000
         100           0         150          12       40000
